"country","popu","totAlcohol","totLiteracy"
"Seychelles",55666.7774086379,631817.92358804,4948776.51162791
"Sierra Leone",5264700.99667774,50541129.5681063,205586573.920266
"Singapore",2436163.12292359,3763872.02491694,219498297.375415
"Slovenia",1350800.66445183,24449492.0265781,134584772.868217
"South Africa",29791129.5681063,294534967.663344,2534480348.00664
"Spain",28317275.7475083,331312126.245847,2743134954.9122
"Sri Lanka",10654053.1561462,8523242.52491695,959077865.116279
"Sudan",33060066.4451827,84633770.0996678,2203453428.57143
"Suriname",335817.607973422,2124046.37043189,31219843.6212625
"Syria",13943056.4784053,20356862.4584718,1057580833.88704
"Tajikistan",5869265.7807309,19896810.9966777,580861670.099668
"Tanzania",50033554.8172757,365495117.940199,3273862270.21041
"Thailand",31560631.2292359,223449269.10299,2884641694.35216
"Timor-Leste",786252.491694352,629001.993355482,38395330.0110742
"Togo",6048362.12624585,11824547.9568106,344151804.983389
"Tonga",67500.6644518272,259877.558139535,6693815.89147287
"Trinidad and Tobago",738959.136212625,4596325.82724253,71882249.9750831
"Tunisia",6304475.08305648,7376235.84717608,436689974.086379
"Turkey",42411029.9003322,124900483.056478,3518187707.6412
"Turkmenistan",3329242.52491694,16030302.7574751,330260858.471761
"Uganda",31824451.8272425,450315993.355482,2138603162.7907
"Ukraine",29021926.910299,445970276.854928,2889132823.92027
"United Arab Emirates",3816548.17275748,2022770.53156146,273137630.89701
"Uruguay",1868433.88704319,16003136.2425249,181331508.737542
"Uzbekistan",18320598.0066445,65496137.8737542,1813739202.65781
"Vanuatu",237263.787375415,224214.279069767,16926398.5913621
"Venezuela",14692392.0265781,116290282.890365,1346410805.31561
"Vietnam",46886511.627907,180044204.651163,4175712725.5814
"Yemen",20431627.9069767,4086325.58139535,1070617302.32558
"Zambia",14072495.0166113,52138594.0365449,927377421.594684
"Zimbabwe",10122903.6544851,50816976.345515,826366368.327796
